query	grouping_confidence	location_confidence	orientation_confidence
NODE_7_length_195981_cov_133.353036_pilon_pilon_pilon_pilon	1.0	0.04442093027262234	1.0
NODE_5_length_205495_cov_133.381231_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_20_length_90084_cov_130.623766_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_25_length_72388_cov_131.469136_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_49_length_2042_cov_131.704580_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_14_length_130551_cov_132.229241_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_4_length_224791_cov_132.297264_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_42_length_9865_cov_119.819470_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_31_length_46554_cov_132.050001_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_68_length_754_cov_263.464950_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_38_length_16880_cov_133.415988_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_10_length_165887_cov_130.083554_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_21_length_89668_cov_134.854128_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_46_length_3858_cov_129.083355_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_17_length_106556_cov_128.588717_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_661_length_223_cov_136.047619_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_29_length_61729_cov_127.225476_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_900_length_117_cov_128.645161_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_15_length_125327_cov_122.182156_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_40_length_11679_cov_104.479009_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_85_length_485_cov_256.000000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_30_length_50979_cov_119.542239_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_76_length_575_cov_162.030769_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_18_length_98782_cov_125.289110_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_368_length_251_cov_66.127551_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_12_length_142018_cov_127.864162_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_938_length_97_cov_123.952381_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_16_length_111178_cov_128.385105_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_24_length_80988_cov_129.959621_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_35_length_20036_cov_128.963515_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_6_length_197133_cov_130.977593_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_145_length_278_cov_136.219731_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_27_length_64597_cov_128.084596_pilon_pilon_pilon_pilon	1.0	1.0	1.0
