locus_tag	ftype	length_bp	gene	EC_number	COG	product
target_00001	gene	309				
target_00001	CDS	309				hypothetical protein
target_00002	gene	102				
target_00002	CDS	102				hypothetical protein
target_00003	gene	180				
target_00003	CDS	180				hypothetical protein
target_00004	gene	624	sodB			
target_00004	CDS	624	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
target_00005	gene	534				
target_00005	CDS	534				hypothetical protein
target_00006	gene	909				
target_00006	CDS	909				hypothetical protein
target_00007	gene	399	espR			
target_00007	CDS	399	espR			Nucleoid-associated protein EspR
target_00008	gene	657				
target_00008	CDS	657				hypothetical protein
target_00009	gene	285				
target_00009	CDS	285				hypothetical protein
target_00010	gene	405				
target_00010	CDS	405				hypothetical protein
target_00011	gene	474	rraA			
target_00011	CDS	474	rraA	4.1.3.17	COG0684	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
target_00012	gene	1470	ethA_1			
target_00012	CDS	1470	ethA_1	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
target_00013	gene	651	ethR_1			
target_00013	CDS	651	ethR_1			HTH-type transcriptional regulator EthR
target_00014	gene	1008	ycdX			
target_00014	CDS	1008	ycdX	3.1.3.-		phosphatase YcdX
target_00015	gene	198				
target_00015	CDS	198				hypothetical protein
target_00016	gene	141				
target_00016	CDS	141				hypothetical protein
target_00017	gene	1467	gltD			
target_00017	CDS	1467	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
target_00018	gene	4584	gltB			
target_00018	CDS	4584	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
target_00019	gene	876	espI_1			
target_00019	CDS	876	espI_1		COG0455	ESX-1 secretion-associated protein EspI
target_00020	gene	291	whiB6			
target_00020	CDS	291	whiB6			putative transcriptional regulator WhiB6
target_00021	gene	1113				
target_00021	CDS	1113				hypothetical protein
target_00022	gene	1209	espE			
target_00022	CDS	1209	espE			ESX-1 secretion-associated protein EspE
target_00023	gene	312	espF			
target_00023	CDS	312	espF			ESX-1 secretion-associated protein EspF
target_00024	gene	852	espG1			
target_00024	CDS	852	espG1			ESX-1 secretion-associated protein EspG1
target_00025	gene	552	espH			
target_00025	CDS	552	espH			ESX-1 secretion-associated protein EspH
target_00026	gene	1722	eccA1			
target_00026	CDS	1722	eccA1		COG0464	ESX-1 secretion system protein EccA1
target_00027	gene	1443	eccB1			
target_00027	CDS	1443	eccB1	3.6.-.-		ESX-1 secretion system ATPase EccB1
target_00028	gene	2244	eccCa1			
target_00028	CDS	2244	eccCa1		COG1674	ESX-1 secretion system protein EccCa1
target_00029	gene	117				
target_00029	CDS	117				hypothetical protein
target_00030	gene	1776	eccCb1			
target_00030	CDS	1776	eccCb1		COG1674	ESX-1 secretion system protein EccCb1
target_00031	gene	297				
target_00031	CDS	297				PE family immunomodulator PE35
target_00032	gene	1107				
target_00032	CDS	1107				PPE family immunomodulator PPE68
target_00033	gene	303	esxB			
target_00033	CDS	303	esxB			ESAT-6-like protein EsxB
target_00034	gene	288	esxA			
target_00034	CDS	288	esxA		COG4842	6 kDa early secretory antigenic target
target_00035	gene	351				
target_00035	CDS	351				hypothetical protein
target_00036	gene	927	espI_2			
target_00036	CDS	927	espI_2		COG0455	ESX-1 secretion-associated protein EspI
target_00037	gene	1464	eccD1_1			
target_00037	CDS	1464	eccD1_1			ESX-1 secretion system protein EccD1
target_00038	gene	843	espJ			
target_00038	CDS	843	espJ			ESX-1 secretion-associated protein EspJ
target_00039	gene	2190	espK			
target_00039	CDS	2190	espK			ESX-1 secretion-associated protein EspK
target_00040	gene	348	espL			
target_00040	CDS	348	espL			ESX-1 secretion-associated protein EspL
target_00041	gene	1383	espB			
target_00041	CDS	1383	espB			ESX-1 secretion-associated protein EspB
target_00042	gene	1389	eccE1			
target_00042	CDS	1389	eccE1			ESX-1 secretion system protein EccE1
target_00043	gene	1371	mycP1			
target_00043	CDS	1371	mycP1	3.4.21.-	COG1404	Mycosin-1
target_00044	gene	1851	eccA2			
target_00044	CDS	1851	eccA2		COG0464	ESX-2 secretion system protein EccA2
target_00045	gene	1614	eccE2			
target_00045	CDS	1614	eccE2			ESX-2 secretion system protein EccE2
target_00046	gene	1653	mycP2			
target_00046	CDS	1653	mycP2	3.4.21.-	COG1404	Mycosin-2
target_00047	gene	1530	eccD2			
target_00047	CDS	1530	eccD2			ESX-2 secretion system protein eccD2
target_00048	gene	999	espI_3			
target_00048	CDS	999	espI_3		COG0455	ESX-1 secretion-associated protein EspI
target_00049	gene	831				
target_00049	CDS	831				hypothetical protein
target_00050	gene	288	esxC			
target_00050	CDS	288	esxC		COG4842	ESAT-6-like protein EsxC
target_00051	gene	324	esxD			
target_00051	CDS	324	esxD			ESAT-6-like protein EsxD
target_00052	gene	1200				
target_00052	CDS	1200				hypothetical protein
target_00053	gene	234				
target_00053	CDS	234				hypothetical protein
target_00054	gene	4191	eccC5_1			
target_00054	CDS	4191	eccC5_1		COG1674	ESX-5 secretion system protein EccC5
target_00055	gene	618	eccB2_1			
target_00055	CDS	618	eccB2_1	3.6.-.-		ESX-2 secretion system ATPase EccB2
target_00056	gene	927	eccB2_2			
target_00056	CDS	927	eccB2_2	3.6.-.-		ESX-2 secretion system ATPase EccB2
target_00057	gene	909				
target_00057	CDS	909				hypothetical protein
target_00058	gene	645				
target_00058	CDS	645				hypothetical protein
target_00059	gene	333				
target_00059	CDS	333				hypothetical protein
target_00060	gene	717				
target_00060	CDS	717				putative protein
target_00061	gene	297				
target_00061	CDS	297				hypothetical protein
target_00062	gene	891				
target_00062	CDS	891				hypothetical protein
target_00063	gene	354				
target_00063	CDS	354				hypothetical protein
target_00064	gene	141				
target_00064	CDS	141				hypothetical protein
target_00065	gene	531				
target_00065	CDS	531				Immunity factor for TNT
target_00066	gene	2541	cpnT			
target_00066	CDS	2541	cpnT			Outer membrane channel protein CpnT
target_00067	gene	291	esxE			
target_00067	CDS	291	esxE			ESAT-6-like protein EsxE
target_00068	gene	312	esxF			
target_00068	CDS	312	esxF			ESAT-6-like protein EsxF
target_00069	gene	510				
target_00069	CDS	510				hypothetical protein
target_00070	gene	1443	cca			
target_00070	CDS	1443	cca	2.7.7.72		CCA-adding enzyme
target_00071	gene	663	mutT4			
target_00071	CDS	663	mutT4	3.6.1.-	COG0494	Putative mutator protein MutT4
target_00072	gene	2409				
target_00072	CDS	2409				hypothetical protein
target_00073	gene	3555	mviN			
target_00073	CDS	3555	mviN		COG0728	putative peptidoglycan biosynthesis protein MviN
target_00074	gene	591	sigM			
target_00074	CDS	591	sigM			ECF RNA polymerase sigma factor SigM
target_00075	gene	765	rsmA			
target_00075	CDS	765	rsmA			Anti-sigma-M factor RsmA
target_00076	gene	1008	trxB			
target_00076	CDS	1008	trxB	1.8.1.9	COG0492	Thioredoxin reductase
target_00077	gene	351	trxA			
target_00077	CDS	351	trxA		COG0526	Thioredoxin
target_00078	gene	1221	cwlM			
target_00078	CDS	1221	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
target_00079	gene	735				
target_00079	CDS	735				hypothetical protein
target_00080	gene	1035	parB			
target_00080	CDS	1035	parB		COG1475	putative chromosome-partitioning protein ParB
target_00081	gene	1044	nifH			
target_00081	CDS	1044	nifH	1.18.6.1		Nitrogenase iron protein
target_00082	gene	570	rsmG			
target_00082	CDS	570	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
target_00083	gene	150				
target_00083	CDS	150				hypothetical protein
target_00084	gene	564				
target_00084	CDS	564				hypothetical protein
target_00085	gene	1101	yidC			
target_00085	CDS	1101	yidC		COG0706	Membrane protein insertase YidC
target_00086	gene	1524	dnaA			
target_00086	CDS	1524	dnaA		COG0593	Chromosomal replication initiator protein DnaA
target_00087	gene	1209	dnaN			
target_00087	CDS	1209	dnaN		COG0592	Beta sliding clamp
target_00088	gene	1158	recF			
target_00088	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
target_00089	gene	516				
